side,entry_i,exit_i,entry_px,exit_px,hold_h,reason,gross,cost,net,exit_ts
long,355,364,11494.0,11489.377294095299,9,stop_loss,-0.40218426176278355,1.2562499999999999,-1.6584342617627834,1602543600000
long,523,580,11637.1,12741.208527413466,57,stop_loss,94.87832255574548,1.55625,93.32207255574548,1603321200000
long,644,658,13063.5,13099.175314870234,14,stop_loss,2.7309155180643554,1.2874999999999999,1.4434155180643555,1603602000000
long,691,692,13190.1,12999.713037897112,1,stop_loss,-14.434080264962963,1.20625,-15.640330264962964,1603724400000
long,712,736,13245.8,13478.892041276726,24,stop_loss,17.597430225182805,1.35,16.247430225182804,1603882800000
long,807,847,13870.0,13616.445657711673,40,stop_loss,-18.280774498076962,1.45,-19.73077449807696,1604282400000
short,858,865,13269.4,13590.318819818787,7,stop_loss,-24.184877976305454,1.24375,-25.428627976305453,1604347200000
long,892,895,13795.0,13697.218527003643,3,stop_loss,-7.088182167187929,1.21875,-8.306932167187929,1604455200000
long,911,980,14044.6,15245.101354224982,69,stop_loss,85.47778891709139,1.63125,83.8465389170914,1604761200000
long,1007,1021,15571.8,15182.04112068718,14,stop_loss,-25.02978970400466,1.2874999999999999,-26.31728970400466,1604908800000
long,1025,1026,15792.5,15354.270479300583,1,stop_loss,-27.749217710901807,1.20625,-28.955467710901807,1604926800000
long,1072,1085,15558.1,15475.837211971317,13,stop_loss,-5.287457210628782,1.28125,-6.568707210628782,1605139200000
long,1095,1095,16044.1,15627.562861509381,0,stop_loss,-25.96201335635027,1.2,-27.16201335635027,1605175200000
long,1108,1125,16196.5,16027.260872197025,17,stop_loss,-10.44911726625971,1.30625,-11.75536726625971,1605283200000
short,1178,1186,15809.0,16057.260309018871,8,stop_loss,-15.703732621852827,1.25,-16.95373262185283,1605502800000
long,1192,1234,16364.1,17667.324639770166,42,stop_loss,79.63924931833499,1.4625,78.17674931833498,1605675600000
long,1268,1313,18105.8,18386.381156448835,45,stop_loss,15.496755539597025,1.48125,14.015505539597026,1605960000000
long,1360,1364,18756.0,18297.885626187264,4,stop_loss,-24.42495061914778,1.2249999999999999,-25.64995061914778,1606143600000
long,1386,1400,19147.6,18739.898977303474,14,stop_loss,-21.29253915355057,1.2874999999999999,-22.580039153550572,1606273200000
short,1430,1479,16907.5,17228.14162626837,49,stop_loss,-18.96446111301911,1.50625,-20.47071111301911,1606557600000
long,1497,1552,17866.6,19191.636989550014,55,stop_loss,74.16279479867548,1.54375,72.61904479867547,1606820400000
long,1598,1623,19390.1,19069.62767977137,25,stop_loss,-16.52762596524152,1.35625,-17.88387596524152,1607076000000
short,1636,1645,18663.2,19150.108650539714,9,stop_loss,-26.08923713723871,1.2562499999999999,-27.345487137238713,1607155200000
long,1685,1703,19370.4,19074.124654924715,18,stop_loss,-15.295262104824172,1.3125,-16.60776210482417,1607364000000
long,1715,1717,19307.8,19061.826099335824,2,stop_loss,-12.739613040541945,1.2125,-13.952113040541946,1607414400000
short,1732,1746,18325.0,18451.145989489298,14,stop_loss,-6.883819344572867,1.2874999999999999,-8.171319344572867,1607518800000
short,1768,1803,18157.0,18147.590265457235,35,stop_loss,0.5182428012758366,1.41875,-0.9005071987241634,1607724000000
long,1817,1851,18502.9,18992.251635994253,34,stop_loss,26.447293991441956,1.4125,25.034793991441955,1607896800000
long,1878,1881,19404.2,19189.359305608727,3,stop_loss,-11.07186559565837,1.21875,-12.29061559565837,1608004800000
long,1912,1964,19813.1,22359.793971028248,52,stop_loss,128.53586622125007,1.525,127.01086622125007,1608303600000
long,1988,1997,23301.1,23243.029894205287,9,stop_loss,-2.4921615629610496,1.2562499999999999,-3.7484115629610493,1608422400000
long,2018,2018,24177.8,23475.02916020977,0,stop_loss,-29.066781915237446,1.2,-30.266781915237445,1608498000000
long,2068,2080,23728.0,23323.66898233752,12,stop_loss,-17.040248552869187,1.275,-18.315248552869186,1608721200000
long,2127,2131,23945.3,23845.566027450182,4,stop_loss,-4.165075089884731,1.2249999999999999,-5.39007508988473,1608904800000
long,2143,2177,24907.0,26733.57839391873,34,stop_loss,73.3359454739122,1.4125,71.92344547391221,1609070400000
long,2237,2246,27403.6,27409.700851844485,9,stop_loss,0.22262957583992238,1.2562499999999999,-1.0336204241600775,1609318800000
long,2257,2262,28792.2,28182.570648647557,5,stop_loss,-21.173420278840915,1.23125,-22.404670278840914,1609376400000
long,2287,2303,29439.0,28699.485881486566,16,stop_loss,-25.120218706934146,1.3,-26.420218706934147,1609524000000
long,2316,2329,29718.2,31497.909017321814,13,stop_loss,59.886164617029735,1.28125,58.604914617029735,1609617600000
long,2339,2350,33795.0,32599.193700853142,11,stop_loss,-35.38411892726314,1.26875,-36.652868927263135,1609693200000
long,2401,2447,33724.3,38004.65122327586,46,stop_loss,126.9218700840598,1.4875,125.43437008405981,1610042400000
long,2464,2473,40838.3,38915.68899991135,9,stop_loss,-47.078624724551574,1.2562499999999999,-48.334874724551575,1610136000000
short,2528,2555,36395.8,35973.6532877987,27,stop_loss,11.598775468633892,1.36875,10.230025468633892,1610431200000
short,2574,2591,32556.0,35450.53173562241,17,stop_loss,-88.90931734925701,1.30625,-90.21556734925701,1610560800000
long,2605,2626,38225.1,38223.34159073292,21,stop_loss,-0.04600143013570727,1.33125,-1.3772514301357073,1610686800000
short,2677,2685,34753.9,36055.69507372841,8,stop_loss,-37.45752487428495,1.25,-38.70752487428495,1610899200000
short,2774,2802,33260.1,32134.828598219403,28,stop_loss,33.83247199438954,1.375,32.45747199438954,1611320400000
short,2825,2861,31636.2,32424.830155072235,36,stop_loss,-24.928093610238733,1.425,-26.353093610238734,1611532800000
long,2874,2881,34186.4,33129.592062964766,7,stop_loss,-30.913109804929306,1.24375,-32.156859804929304,1611604800000
short,2921,2929,30651.2,31267.21601986728,8,stop_loss,-20.097615097199405,1.25,-21.347615097199405,1611777600000
long,2955,2963,33178.5,32651.81795573742,8,stop_loss,-15.874196972816112,1.25,-17.12419697281611,1611900000000
long,2966,2975,36368.0,34775.193037425415,9,stop_loss,-43.79693583850046,1.2562499999999999,-45.05318583850046,1611943200000
short,3023,3031,32289.3,33747.51214255672,8,stop_loss,-45.1608471709427,1.25,-46.4108471709427,1612144800000
