side,entry_i,exit_i,entry_px,exit_px,hold_h,reason,gross,cost,net,exit_ts
long,304,333,16977.1,17781.79415698551,116.0,stop_loss,47.39879938184447,1.925,45.47379938184447,1606032000000
long,346,355,19056.4,18266.66804881632,36.0,stop_loss,-41.44182275685245,1.425,-42.86682275685245,1606348800000
long,381,388,18612.5,18443.525029628458,28.0,stop_loss,-9.078574633796773,1.375,-10.453574633796773,1606824000000
short,448,455,17650.0,18568.24505797573,28.0,stop_loss,-52.02521574933323,1.375,-53.40021574933323,1607788800000
long,470,507,19480.8,22593.261331703667,148.0,stop_loss,159.77071432916858,2.125,157.64571432916858,1608537600000
long,532,546,24579.8,25866.34968876541,56.0,stop_loss,52.34174764503421,1.55,50.791747645034214,1609099200000
long,564,582,28792.2,30728.195862260633,72.0,stop_loss,67.2402894624458,1.65,65.5902894624458,1609617600000
long,607,631,36770.6,37114.48029145442,96.0,stop_loss,9.35204460776874,1.8,7.55204460776874,1610323200000
long,653,658,39558.2,35631.23816584947,20.0,stop_loss,-99.27048839812042,1.325,-100.59548839812042,1610712000000
short,694,718,32224.2,33986.74586295948,96.0,stop_loss,-54.69634197154548,1.8,-56.496341971545476,1611576000000
short,730,738,30651.2,33305.15301575151,32.0,stop_loss,-86.58561543272391,1.4,-87.98561543272392,1611864000000
long,768,793,35761.6,38394.84362829942,100.0,stop_loss,73.63327223332917,1.825,71.80827223332916,1612656000000
long,803,841,43865.1,45987.475790881464,152.0,stop_loss,48.384154849332745,2.15,46.23415484933275,1613347200000
long,855,885,51128.9,54306.17160097677,120.0,stop_loss,62.14238133378125,1.95,60.19238133378125,1613980800000
short,923,928,43395.3,48179.94618712845,20.0,stop_loss,-110.25724415151981,1.325,-111.58224415151982,1614600000000
long,973,1010,52399.9,57782.23153231963,148.0,stop_loss,102.71644664053994,2.125,100.59144664053994,1615780800000
short,1069,1080,52310.0,54776.43625507617,44.0,stop_loss,-47.150377653912685,1.475,-48.625377653912686,1616788800000
long,1102,1128,59245.5,57241.56387435654,104.0,stop_loss,-33.82427569424609,1.85,-35.67427569424609,1617480000000
long,1167,1193,60668.0,61566.56908280213,104.0,stop_loss,14.811252765908428,1.85,12.961252765908428,1618416000000
short,1243,1262,51726.4,52584.196611153966,76.0,stop_loss,-16.583342570794883,1.675,-18.258342570794884,1619409600000
long,1291,1309,57661.1,56011.222073768964,72.0,stop_loss,-28.613361975942784,1.65,-30.263361975942782,1620086400000
short,1363,1433,49600.0,38956.03923553445,280.0,stop_loss,214.59598315454733,2.95,211.64598315454734,1621872000000
short,1456,1486,35382.7,37945.31910809912,120.0,stop_loss,-72.42576479746089,1.95,-74.37576479746089,1622635200000
short,1519,1527,33563.7,34851.5814329584,32.0,stop_loss,-38.37125921630827,1.4,-39.771259216308266,1623225600000
long,1559,1577,40690.0,37807.713318702845,72.0,stop_loss,-70.83525881782145,1.65,-72.48525881782146,1623945600000
short,1594,1612,33861.1,34616.86720264036,72.0,stop_loss,-22.31962938712445,1.65,-23.96962938712445,1624449600000
short,1629,1638,30723.3,33981.98608174894,36.0,stop_loss,-106.0656271217265,1.425,-107.49062712172649,1624824000000
short,1736,1779,31815.0,31222.465467645423,172.0,stop_loss,18.624376311632158,2.275,16.34937631163216,1626854400000
long,1796,1848,33655.2,39955.053883959634,208.0,stop_loss,187.18812795525318,2.5,184.68812795525318,1627848000000
long,1872,1912,40718.6,44188.410273562804,160.0,stop_loss,85.21438049350432,2.2,83.01438049350432,1628769600000
long,1921,1928,47794.8,45660.82492343459,28.0,stop_loss,-44.648687233033925,1.375,-46.023687233033925,1629000000000
long,1961,1984,48724.0,48280.66376144676,92.0,stop_loss,-9.09892945064523,1.775,-10.87392945064523,1629806400000
long,2059,2067,51805.0,50784.43242277109,32.0,stop_loss,-19.700175219166308,1.4,-21.100175219166307,1631001600000
long,2133,2143,48628.2,46613.68022526484,40.0,stop_loss,-41.426986290571236,1.45,-42.87698629057124,1632096000000
long,2226,2280,48790.2,54518.882540641185,216.0,stop_loss,117.41461483333104,2.55,114.86461483333105,1634068800000
long,2288,2332,58085.4,63442.94664208829,176.0,stop_loss,92.23568473468872,2.3,89.93568473468872,1634817600000
long,2405,2411,63990.0,60714.0675435531,24.0,stop_loss,-51.19444376382089,1.35,-52.544443763820894,1635955200000
long,2479,2484,65542.0,63475.634047853695,20.0,stop_loss,-31.527355774103704,1.325,-32.85235577410371,1637006400000
short,2501,2514,58105.1,59723.13480212296,52.0,stop_loss,-27.846691635036485,1.525,-29.371691635036484,1637438400000
short,2526,2562,55957.0,56575.58229923976,144.0,stop_loss,-11.054600840641186,2.1,-13.154600840641185,1638129600000
short,2592,2645,53838.9,50635.193962845704,212.0,stop_loss,59.50541406221705,2.5250000000000004,56.98041406221705,1639324800000
short,2652,2664,46710.9,49485.1658231467,48.0,stop_loss,-59.392257977189466,1.5,-60.892257977189466,1639598400000
long,2712,2737,51109.0,49631.15405527571,100.0,stop_loss,-28.915571518211923,1.825,-30.740571518211922,1640649600000
short,2749,2829,46452.8,43162.08767416312,320.0,stop_loss,70.83991332787002,3.2,67.63991332787002,1641974400000
short,2881,2904,40667.5,36974.50619556128,92.0,stop_loss,90.80946221033317,1.775,89.03446221033316,1643054400000
long,2983,2992,42373.4,42624.97412096028,36.0,stop_loss,5.937076584845171,1.425,4.512076584845171,1644321600000
long,3034,3045,44234.3,42795.019184091594,44.0,stop_loss,-32.5376645704444,1.475,-34.0126645704444,1645084800000
short,3053,3090,39835.8,37895.44490272221,148.0,stop_loss,48.70882716746734,2.125,46.58382716746734,1645732800000
short,3148,3163,38346.5,39895.05679822124,60.0,stop_loss,-40.383263093665335,1.575,-41.95826309366534,1646784000000
short,3193,3198,37760.9,39504.84199031222,20.0,stop_loss,-46.18380362523716,1.325,-47.508803625237164,1647288000000
long,3222,3235,42025.5,40739.84658889771,52.0,stop_loss,-30.592221653574427,1.525,-32.117221653574425,1647820800000
long,3257,3299,43987.9,46120.058631319924,168.0,stop_loss,48.47148036891787,2.25,46.22148036891787,1648742400000
short,3349,3376,42250.9,41281.3074460935,108.0,stop_loss,22.94844734447075,1.875,21.07344734447075,1649851200000
short,3405,3407,38919.9,40391.467459159496,8.0,stop_loss,-37.81015519463037,1.25,-39.06015519463037,1650297600000
short,3431,3449,39437.1,39992.84494604773,72.0,stop_loss,-14.09193236946249,1.65,-15.741932369462491,1650902400000
short,3481,3488,37630.5,39069.61030330491,28.0,stop_loss,-38.243188458960354,1.375,-39.618188458960354,1651464000000
short,3509,3570,36900.0,31342.274366870042,244.0,stop_loss,150.61587081653002,2.725,147.89087081653003,1652644800000
short,3587,3595,28984.0,30597.51219888838,32.0,stop_loss,-55.66906565306308,1.4,-57.06906565306308,1653004800000
long,3661,3671,31743.6,30535.649518214927,40.0,stop_loss,-38.05335506322761,1.45,-39.503355063227616,1654099200000
short,3726,3777,28988.0,20079.114168313412,204.0,stop_loss,307.3301308019383,2.475,304.8551308019383,1655625600000
short,3834,3847,20255.5,20066.288486547674,52.0,stop_loss,9.341241314819504,1.525,7.816241314819504,1656633600000
long,3888,3905,21807.3,20780.806426561696,68.0,stop_loss,-47.07109882646194,1.625,-48.69609882646194,1657468800000
short,3918,3925,19394.2,20351.460541725864,28.0,stop_loss,-49.35808343349371,1.375,-50.73308343349371,1657756800000
long,3951,3970,22249.0,22380.06063488133,76.0,stop_loss,5.890630360075994,1.675,4.215630360075994,1658404800000
short,4001,4007,20748.3,21865.16255734751,24.0,stop_loss,-53.82911165481081,1.35,-55.17911165481081,1658937600000
long,4013,4032,23742.9,23249.26177054294,76.0,stop_loss,-20.790982965731278,1.675,-22.46598296573128,1659297600000
long,4077,4083,23802.4,23375.108089695434,24.0,stop_loss,-17.95163136089503,1.35,-19.30163136089503,1660032000000
long,4094,4118,24321.2,23947.838399504668,96.0,stop_loss,-15.35128202947769,1.8,-17.15128202947769,1660536000000
short,4142,4186,22766.7,21884.67908903397,176.0,stop_loss,38.74171096232795,2.3,36.44171096232795,1661515200000
short,4187,4204,20778.2,20326.50536032823,68.0,stop_loss,21.73887245631345,1.625,20.11387245631345,1661774400000
short,4254,4267,18822.5,19562.342643245163,52.0,stop_loss,-39.306289985132864,1.525,-40.83128998513286,1662681600000
short,4328,4331,18774.8,19482.333095455248,12.0,stop_loss,-37.68525339578841,1.275,-38.960253395788406,1663603200000
long,4423,4438,20332.0,19595.226784739792,60.0,stop_loss,-36.23712449637062,1.575,-37.81212449637062,1665144000000
short,4474,4475,18752.7,19273.218456809253,4.0,stop_loss,-27.756987356980687,1.2249999999999999,-28.98198735698069,1665676800000
long,4547,4564,19749.9,19962.8813824871,68.0,stop_loss,10.783922069838226,1.625,9.158922069838226,1666958400000
long,4607,4622,20841.9,20772.401074279285,60.0,stop_loss,-3.3345772564265355,1.575,-4.909577256426536,1667793600000
short,4632,4666,18252.1,17053.98160601006,136.0,stop_loss,65.64276954377516,2.05,63.59276954377516,1668427200000
short,4705,4717,16289.3,16414.19301168161,48.0,stop_loss,-7.667181013402161,1.5,-9.16718101340216,1669161600000
short,4748,4754,16179.8,16538.550141072006,24.0,stop_loss,-22.17271789960364,1.35,-23.52271789960364,1669694400000
long,4765,4793,17162.9,16910.080145419946,112.0,stop_loss,-14.730602321289238,1.9,-16.63060232128924,1670256000000
long,4840,4849,17442.3,17608.560422342784,36.0,stop_loss,9.532024007314648,1.425,8.107024007314648,1671062400000
short,4879,4879,16440.0,16845.378373404503,0.0,stop_loss,-24.65805191024956,1.2,-25.85805191024956,1671494400000
short,4926,4958,16692.0,16732.133646439008,128.0,stop_loss,-2.404364152828173,2.0,-4.4043641528281725,1672632000000
long,4999,5057,17129.9,20477.472294562333,232.0,stop_loss,195.42275755038446,2.6500000000000004,192.77275755038445,1674057600000
long,5124,5127,23903.8,23101.28099922629,12.0,stop_loss,-33.57286292446017,1.275,-34.847862924460166,1675065600000
short,5190,5218,22037.5,22125.13058840395,112.0,stop_loss,-3.9764305571843557,1.9,-5.876430557184356,1676376000000
short,5318,5375,22318.8,20813.591685852694,228.0,stop_loss,67.44127435826769,2.625,64.81627435826769,1678636800000
long,5404,5435,26917.6,27345.46518838594,124.0,stop_loss,15.89536914085736,1.975,13.92036914085736,1679500800000
long,5476,5503,28364.7,27702.770330190717,108.0,stop_loss,-23.3363888851031,1.875,-25.2113888851031,1680480000000
long,5550,5587,29174.4,29925.64948953617,148.0,stop_loss,25.75029784798203,2.125,23.62529784798203,1681689600000
short,5609,5640,28510.6,28193.886064283448,124.0,stop_loss,11.108638040467428,1.975,9.133638040467428,1682452800000
long,5700,5704,29562.0,28515.04377497863,16.0,stop_loss,-35.41560872137782,1.3,-36.71560872137782,1683374400000
short,5718,5756,27342.3,27403.572494079723,152.0,stop_loss,-2.240941474554935,2.15,-4.3909414745549356,1684123200000
short,5813,5824,26315.3,26902.4744847937,44.0,stop_loss,-22.3130454448059,1.475,-23.788045444805903,1685102400000
short,5913,5932,25646.0,26408.421584665382,76.0,stop_loss,-29.728674439108726,1.675,-31.403674439108727,1686657600000
short,5941,5946,25127.2,25713.706884790783,20.0,stop_loss,-23.341513769571712,1.325,-24.66651376957171,1686859200000
long,5976,6034,27982.1,29896.598105230096,232.0,stop_loss,68.41867140886843,2.6500000000000004,65.76867140886843,1688126400000
long,6054,6063,31265.0,30421.63477531724,36.0,stop_loss,-26.97473931497709,1.425,-28.39973931497709,1688544000000
long,6114,6119,31621.0,30525.72685275679,20.0,stop_loss,-34.63752402653964,1.325,-35.96252402653964,1689350400000
short,6138,6173,29884.6,30244.122635551186,140.0,stop_loss,-12.030364654410223,2.075,-14.105364654410224,1690128000000
short,6178,6192,29271.9,29665.872481183727,56.0,stop_loss,-13.459067610360991,1.55,-15.009067610360992,1690401600000
short,6224,6228,28837.0,29402.602220556,16.0,stop_loss,-19.613767748240118,1.3,-20.91376774824012,1690920000000
long,6305,6311,29607.7,29221.79254062669,24.0,stop_loss,-13.034023560536934,1.35,-14.384023560536933,1692115200000
short,6319,6359,28737.2,26316.18434095537,160.0,stop_loss,84.24674843215871,2.2,82.04674843215871,1692806400000
short,6473,6475,25110.2,25706.149331870787,8.0,stop_loss,-23.73335663876777,1.25,-24.98335663876777,1694476800000
long,6491,6515,26694.7,26655.12010818932,96.0,stop_loss,-1.4826872679101526,1.8,-3.282687267910153,1695052800000
long,6595,6600,28005.2,27377.099584081076,20.0,stop_loss,-22.427992512780666,1.325,-23.752992512780665,1696276800000
long,6704,6789,29237.2,34182.294273010084,340.0,stop_loss,169.13706760599794,3.325,165.81206760599795,1698998400000
long,6816,6853,35468.4,36256.4008388287,148.0,stop_loss,22.2169829715661,2.125,20.0919829715661,1699920000000
long,6864,6869,37519.9,36149.72595757666,20.0,stop_loss,-36.5185952634027,1.325,-37.843595263402705,1700150400000
long,6889,6898,37371.7,36358.357900317875,36.0,stop_loss,-27.11522621882661,1.425,-28.54022621882661,1700568000000
long,6942,7015,38112.4,42955.54759106794,292.0,stop_loss,127.0753768082812,3.0250000000000004,124.0503768082812,1702252800000
long,7073,7098,44059.9,42877.60224218544,100.0,stop_loss,-26.833872927867706,1.825,-28.658872927867705,1703448000000
long,7186,7194,44635.6,44732.09092746682,32.0,stop_loss,2.1617481890424766,1.4,0.7617481890424767,1704830400000
short,7248,7293,41026.2,40685.5969289493,180.0,stop_loss,8.302086740928884,2.325,5.9770867409288835,1706256000000
long,7314,7327,43002.9,42286.62598694084,52.0,stop_loss,-16.656411848018685,1.525,-18.181411848018683,1706745600000
long,7368,7445,43621.4,50961.38740862133,308.0,stop_loss,168.265745909607,3.125,165.140745909607,1708444800000
long,7481,7526,52849.1,64959.104949862034,180.0,stop_loss,229.14306865891822,2.325,226.81806865891824,1709611200000
long,7563,7571,71208.0,69084.78537547753,32.0,stop_loss,-29.81707988600259,1.4,-31.217079886002587,1710259200000
short,7612,7620,63102.2,66874.15000153729,32.0,stop_loss,-59.775253502053665,1.4,-61.175253502053664,1710964800000
long,7731,7737,70714.3,69613.91711353332,24.0,stop_loss,-15.560966968020423,1.35,-16.910966968020425,1712649600000
